Code;Utdrag;Kontekst/tema;Intervju
Mye mail - positiv;Jeg syntes det er veldig greit å bruke e-post;Kommunikasjon ;Associate
Mye mail - positiv;Med e-post så er det enklere å passe på at man har fått gjort unna de.;Kommunikasjon, delegering, ;Associate
Sitte sammen;Vi sitter sammen, både her og på kontoret i Sandvika;Samarbeide internt;Associate
Avklaring på mail;mye avklaringer på mail, gjerne etter man har snakket med hverandre;Samarbeide på tvers;Associate
Deling i møter;avklaringsmøte annenhver uke... Det håper jeg skal bidra til at vi får med oss det vi trenger inn i modellen, fra begge fag.;Samarbeide på tvers;Associate
Enkel avklaring;Fordelen med å sitte her er at det er kort vei til arkitekten;Samarbeide på tvers;Associate
Mange prosjekter;...jobber jeg på mange prosjekter i løpet av en uke;;Associate
Mangler dybde;Vi bruker Cogito. Hvor det med vekslende kvalitet og hvor dypt og detaljert det kan brukes.;Bruk av Cogito;ITB Manager
Ryddig lagring;Så har vi Interaxo. Der har vi fått en fin prosess..;Bruk av Interaxo;ITB Manager
Missforstått Blink;Det fikk jeg invitasjon til;Kommunikasjon ;ITB Manager
Ansvarsfordelig;...utfordringer i prosjektet med hvem som skal lage og med hvilket malverk det lages med;Samarbeide på tvers;ITB Manager
Missfornøyd med andre;Så har vi en ITB-ansvarlig i prosjekteringsgruppa som sitter å leder grensesnitts.arbeidet. Han har .. Godt verktøy for ham, men ikke for prosjektet. ;Samarbeide på tvers;ITB Manager
Kommunikasjon i BIM;Der smakker man og diskuterer på et fornuftig grunnlag.;Samarbeide på tvers BIM;ITB Manager
Kommunikasjon i Cogito;Men man mangler kommunikasjonselementet;Samarbeide på tvers Cogito;ITB Manager
Mye mail - negativ;Målet med dette her er jo å eliminere e-post-bruk. ;Samarbeide på tvers Cogito;ITB Manager
Samspill - utfordringer;noen utfordringer i prosjektet basert på at det er en ny modell. Hvor man har samspillet...;Samspill og kontrakt;ITB Manager
Samspill - utfordringer;Hvem er det som har ansvaret for hva?;Samspill og kontrakt;ITB Manager
Samspill - utfordringer;...Men det sitter igjen et tradisjonelt tankesett;Samspill og kontrakt;ITB Manager
Samspill - utfordringer;Man klarer ikke distansere seg fra tanken om at man har lagdet den beste løsningen, framfor å se andre innspill;Samspill og kontrakt;ITB Manager
Rotete lagring;...så er det en utfordring å finne ting... Å vite hvor man skal legge tind. Jeg har ikke sett et system som løser dette helt;Bruk av Interaxo;Discipline Leader
Missforstått Lean;jeg har forstått det så er dette noe som kommer til anvendelse når det gjelder bygging;Bruk av Lean i prosjektet;Discipline Leader
Eget verktøy;..utviklet mitt eget verktøy i Excel og Visual Basic;Jobber på sin måte;Discipline Leader
For mye diskusjon;"at det kan bli for mye engasjement. At man diskuterer for mye. I stede for å si; Okay. Det er ditt ansvar.";Kommunikasjon ;Discipline Leader
Missforstått Blink;men det ser jeg mer på som et sosialt medium. Jeg bruker ikke det så mye. ;Kommunikasjon ;Discipline Leader
Dobbel kalender;Jeg syntes det er vanskelig der hvor vi har en egen prosjektkalender. Da operer jeg med to kalendere. Da blir jeg booket i møter i den ene, hvor jeg er opptatt i den andre. ;Kommunikasjon kalender ;Discipline Leader
Enkel avklaring;...ta det på tomannshånd;Samarbeide på tvers;Discipline Leader
Mye mail - negativ;Det å følge med på hva som skjer er en stort utfordring for meg.;Samarbeide på tvers;Discipline Leader
Store møter;...hvor vi inkaller alle sammen, de pleier ikke bli så veldig effektive;Samarbeide på tvers;Discipline Leader
Oversikt i Cogito;Jeg syntes det er litt vanskelig å få oversikt i Cogito. Det er krevende. ;Samarbeide på tvers Cogito;Discipline Leader
Oversikt i Cogito;...og lurer på om det er lagt inn allerede. Det ville jeg brukt svært lang tid på å finne ut.;Samarbeide på tvers Cogito;Discipline Leader
Møterom booking;så kan vi se når de er ledig. Det er ikke sånn helt optmal måte;Struktur;Discipline Leader
Rotete lagring;Hvor skal man dokumentere? Hvor skal man legge ting?;Bruk av Interaxo;Associate
Missforstått Lean;Jeg tenker jo egentlig Lean men jeg har ikke helt for meg hva det er,;Bruk av Lean i prosjektet;Associate
Ikke rendyrket;Jeg har vært med på ulike temaer. Det benyttes ikke samme verktøyene.;Bruk av verktøy;Associate
Delegering kommunisere ;Så da pleier jeg som regel å snakke med dem;Delegering;Associate
Delegering mail;og noe mail er det også;Delegering;Associate
Ikke rendyrket;...når det ikke er entydig struktur på ting.;Lagring og håndtering av dokumenter;Associate
Ikke rendyrket;Det er ikke helt samme inndelking i mappene på interaxo;Lagring og håndtering av dokumenter;Associate
Ikke rendyrket;Det er noe med kommunikasjonen som er litt uklar;Lagring og håndtering av dokumenter;Associate
Rotete lagring;Plutselig ble det sagt i temaene at man heller skal legge det under de ulike fasene.;Lagring og håndtering av dokumenter;Associate
godt samarbeid;fungerer veldig bra! Vi snakker stort sett samme språk;Samarbeide internt;Associate
Cogito/Digital delegering;Det er masse som legges inn bare for å vise at det legges inn. Uavhengig på Cogito, som er en vanlig arbeisoppgave;Samarbeide på tvers Cogito;Associate
ikke rendyrket;det gjøres forskjellig der også. Det ene tema lagde man få leveranser, med mange aksjoner under. Mens andre temaer hadde man mange leveranser, med få aksjoner.;Samarbeide på tvers Cogito;Associate
Ikke spikret;Det er ting som ikke er spikret enda. ;TFM-merking;Associate
Oppdatering av modell;Derfra exsporterer vi ukentlig ut .ifc-filer, hvor de deretter legges på Interaxo;BIM 360;BIM Manager
For mange verktøy;man kan velge det ene eller det andre, for å lage kollisjoner.;Bruk av verktøy;BIM Manager
Dårlig eksortering;Verktøyet ligger på at den skal eksportere fra min maskin. Så vi burde ha en felles PC fra Statsbygg,;Eksportering av modell;BIM Manager
Oppdatering av modell;men den skal vi sette opp til å eksportere to ganger i uken. Det er veldig bra et eller annet sted.;Eksportering av modell;BIM Manager
Definisjon av MMI;Det er jo en ganske vag beskrivelse. Så vi laget en spesifikk definisjon.;MMI;BIM Manager
Delegering kommunisere ;bestemt oss i ARK at vi ikke skal bruke Cogito internt..Da er det lettere å gi en oppgave over bordet;Samarbeide internt;BIM Manager
Gammel tanke;Den med mest erfaring hadde tre år. Dersom man vil ha noen som skal kunne slå gjennom med noe, må de ha noen med litt mer erfaring.;Samarbeide på tvers;BIM Manager
Cogito/Digital delegering;Jeg får det fra en fra disiplinområde.;Samarbeide på tvers Cogito;BIM Manager
Ikke rendyrket;Så vi fortsettere å bruke BIM 360, men ikke alt som det er programmet tilbyr.;;BIM Manager
Oppdatering av modell;Ja, men det er mulig man skal gå oppp til 2 ganger i uken. ;BIM;BIM Coordinator
Oppdatering av modell;Ideelt sett burde man hatt en felles stasjonær PC;BIM;BIM Coordinator
Oppdatering av modell;Så sitter jeg kanskje og jobber etter lunsj på torsdag, og dette kommer da ikke med neste uke.;BIM;BIM Coordinator
Lappeteknikk;Da står vi å planlegger litt med lapper.;Bruk av Lean i prosjektet;BIM Coordinator
Netthastighet og nedetid;andre faktorer som kan påvirke hverdagen vår er netthastighet og nedetid.;Infrastruktur og fasiliteter;BIM Coordinator
Rendyrke et verktøy;Hadde man brukt SharePoint til alt i prosjektet... I stede for å bruke Cogito;Mange verktøy;BIM Coordinator
Erfaringsoverføring;Internt for oss kjører vi internmøter hver mandag. Da går man gjennom litt ting og har litt tips og triks;Samarbeide internt;BIM Coordinator
Lite kunnskapsoverføring eksternt;Det er ikke så mye... Men det er ikke så mye erfaringsoverføring fra Statsbygg.;Samarbeide på tvers;BIM Coordinator
Tverrfaglig samarbeid;Break-out-gruppe;Samarbeide på tvers;BIM Coordinator
BIM-samarbeid;Litt slik tilgang og eierskap. At folk eier ting i modeller.;Samarbeide på tvers BIM;BIM Coordinator
Cogito/Digital delegering;Det har vært litt slik at man bare legger ting inn i Cogito uten at man snakker med dem;Samarbeide på tvers Cogito;BIM Coordinator
Fast struktur og agenda på møter;Det hadde vært sykt dugg at alle må ha en agenda til møter egentlig. Ha et fast oppsett til alle møter.;Struktur møter;BIM Coordinator
Lean design;Alt det andre. Det er veldig mye mer enn takt og tog. Det har jeg kanskje sett mindre av;Lean;Associate
Mye møter;Det er veldig mye møter her, men sånn må vel vell kanskje bli. ... Det er kanskje ikke så effektivt.;Samarbeide på tvers;Associate
BIM i møter;Jeg er endel inne i den. Det er natulig i møter, dersom man diskuterer spesifikke temaer at man kikker på etter eller annet;Samarbeide ved BIM;Associate
Beslutningsvegring;Det kan jo være et problem med hvem som faktisk tar beslutning.;Samspill og kontrakt;Associate
Samspill - fordeler;Prøver å se løsninger. Komme med forslag. Fordelene er jo at vi kan plukke ut komponenter og utstyr som skal inn.;Samspill og kontrakt;Associate
Dårlig BIM-manual;Et utkast til den har vært laget for 1,5 år siden, kanskje 2 år siden. Så kunne den vært modifisert. ;BIM;Discipline Leader
Missfornøyd med Blink;Alle i prosjektet har Blink, men jeg syntes det er ganske uintressant. Men det ser jeg på som en sosial ting, da kan det være hyggelig.;Blink;Discipline Leader
Mangler oversikt;det sporingssystemet når man utfører ting og sjekker ut ting, så forsvinner det. Det er ikke så lett å se dersom man har en aksjon eller leveranse. Så er det ikke så lett å se hele nettverket.;Bruk av Cogito;Discipline Leader
Delegering bort kommunisere ;I min rolle delegerer jeg masse... Det går mest muntlig og e-post;Delegering;Discipline Leader
Delegering bort mail;og epost;Delegering;Discipline Leader
Dokumentere;Interaxo er endeastasjon;Dokumentere;Discipline Leader
Deling av kunnskap;Mitt inntrykk er ikke at folk ikke vil dele, men ....Det er ingen som giddere å forklare ting, dersom man ikke spør. Men på det personlig plan får jeg svar, dersom jeg spør;kunnskapsdeilig;Discipline Leader
BIM-utfordring;så er det varierende grad av kompetanse.;Kunnskapsmangel BIM;Discipline Leader
Motta oppgaver;Mail, Cogito, Muntlig;Samarbeide;Discipline Leader
BIM-samarbeid;Det som har en brutal effekt. Det er å bruke BIM. Det er jo det som er fremtiden i byggebransjen. ....Det blir veldig konseptuelt. Enklere å forstå en problemstilling.;Samarbeide på tvers BIM;Discipline Leader
BIM-samarbeid;jobbe med å få digitale og veldig visuelle verktøy det er det man kan samles rundt;Samarbeide på tvers BIM;Discipline Leader
Ikke rendyrket;Spørsmål om det er en enhetlig bruk av programvaren, eller om alle bruker programvaren;Verktøy;Discipline Leader
Cogito/Digital delegering;Men om jeg er så mye inne for å følge, det kunne man vært bedre til. Det er tiltak å logge seg på for å følge med på ting. ;Delegering;Associate
Cogito/Digital delegering;Når jeg er ferdig med det jeg skal kan jeg sjekke om det er noe i cogito jeg burde ha gjort. Selv om det burde vært andre veien rundt;Delegering;Associate
Mye mail - negativ;Dessverre så foregår mye av kommunikasjon over mail. Det er tungvinn prosess, syntes jeg. ;Kommunikasjon ;Associate
Bruk av sky;Da hadde de en lokal server, hvor de hadde sentralfilene sinde. Det var mye missnøye blant de ulike fag-gruppene som synkroniserte, fordi det tok mye tid. Det er veldig sårbart. Dersom den var nede satt det 100 stykker som ikke kunne synkronisere. VPN ;Samarbeide på tvers BIM;Associate
Gammel tanke;...slik det er gjort før....Man putter alt inn i 3D, men man putter det inn som egne objekt-definisjoner. Så fyller de ikke på med rikitg informajson, i forhold til objektene;BIM;Project Manager
Ikke rendyrket;Der er potensialet mye større enn det som ser ut til at vi ender opp med her da. Da tenker jeg på BIM-modellen. Jeg mener at det kan brukes mye, mye mer.;BIM;Project Manager
Mer bruk av BIM;Dent eneste jeg skulle ønsker var at alle hadde samme ambisjonsnivå;BIM;Project Manager
Uoversiktelig;Det er jo uoversiktelig (Bruk av Cogito og Interaxo);Bruk av verktøy;Project Manager
Delegering til ledere;men når jeg gir oppgaver til PG, så gir jeg det til sjefen;Delegering;Project Manager
Snakke med hverandre;Man må snakke med folk. Det å totaltsett bruke systemene er viktig det også... Det er jo ikke personene som skal være oppslagsverk, men det er systemene.;Kommunikasjon ;Project Manager
Delegering kommunisere ;ovenfra via ledermøter og samspillmøter;Samarbeide på tvers;Project Manager
Delegering mail;Ellers kommer det jo på mail;Samarbeide på tvers;Project Manager
Legg inn selv;I Cogito skal vi legge inn oppgaver selv, på bakgrunn av oppgaver vi får på møter;Samarbeide på tvers Cogito;Project Manager
Gammel tanke;Det som irriterer meg er at byggebransjen er så utrolig sirompa. Man skal gjøre det samme som man har gjort alle andre steder.;;Project Manager
Bruker ikke Cogito;Vi har forløpig ikke brukt dette i framdriftsgjengen;Ikke rendyrket;Progress Planner
Vanskelig med kommunikasjon;At de riktige folka får den riktige informasjonen. .. Man at man møter face-to-face er viktig, ikke bare digitalt.;Kommunikasjon ;Progress Planner
Nevner ikke Lean design;;Lean;Progress Planner
Positiv til Lean Construkting;Det er jo en smart tankegang;Lean;Progress Planner
Mange verktøy;Jeg ser utfordringen med at det begynner å blu fryktelig mange plattformer;Mange verktøy;Progress Planner
Interaxo er treigt;Jeg syntes Interaxo er ganske treigt...;Missfornøyd med Interaxo;Progress Planner
Bruker teams internt;Hvor vi bruker det som nesten chat, internt i vår entreprise.;Samarbeide internt;Progress Planner
Arbeid forsvinner;Desom man er inne og skriver en tekst og skal gjøre alt klart og må gå ut ;Bruk av Cogito;Engineering Manager
Cogito er under utvikling;Tidligere slet vi med at topplinja...;Bruk av Cogito;Engineering Manager
Ikke rendyrket;Det er ikke noe fast måte å gjøre det på;Bruk av Cogito;Engineering Manager
Sløve med å lage aksjoner;Det er større utfordring med å få inn aksjoner;Bruk av Cogito;Engineering Manager
Avklare med leder først;Når man gir noen en aksjon, så må man avklare med dem på forhånd. ;Cogito nye oppgaver;Engineering Manager
Cogito er transperant;Det er også en grei måte å vise til de øvrige teamdeltakerne hva som er planlagt;Kommunikasjon ;Engineering Manager
Interaxo er treigt;Så er det litt for mange klikk;Missfornøyd med Interaxo;Engineering Manager
Cogito er viktig;Jeg syntes at Cogito er noe av det viktigste vi har i forhold til fremdriften, med tanke på trekk;Samarbeide på tvers Cogito;Engineering Manager
Netthastighet og nedetid;Det kan være at nettet går tregt;;Engineering Manager
Dårlig varsling ;Ofte dukker det bare opp et Cogito-punkt. Det er ikke så varsling;Bruk av Cogito;Discipline Leader
Bruker ikke Cogito internt;Det vi har brukt å gjøre er at på internoppgaver brukes mail og teams, men vi legger ikke disse i Cogito;Ikke rendyrket;Discipline Leader
Bruker teams internt;Så bruker vi teams, som et internt redskap;Ikke rendyrket;Discipline Leader
Kjenner ikke metodikk;Jeg er jo ikke vant med å jobbe med et slikt verktøy;Ikke vant med metode. Skylder på verktøy;Discipline Leader
Kjenner ikke metodikk;Jeg vil ikke legge inn unødvendig punkt og jeg vil heller ikke at det skal legges inn mange unødvendige punkt på meg;Ikke vant med metode. Skylder på verktøy;Discipline Leader
Vanskelig med kommunikasjon;Det betyr jo allikevel at vi har en tilstedeværelse fra Danmark som ikke fungerer helt slik den skal.;Kommunikasjon ;Discipline Leader
Ikke vært på Lean-kurs;Jeg har ikke vært på Lean-kurs enda;Lean;Discipline Leader
Felles kalender;vi lager en slags kalender i Excel. Vi må ha en når kommer dere, hvem;Samarbeide internt;Discipline Leader
Delegering kommunisere ;fra et møte;Samarbeide på tvers;Discipline Leader
Felles kalender;Så har vi ikke felles kalender her på prosjektet. Det er gjort et forsøk men det funger ikke for alle;Samarbeide på tvers;Discipline Leader
Dårlige oppgaver i Cogito;Det er jo ikke alltid det er kommuniseres så godt. Vi blir heller ikke spurt hvor lang tid det tar.;Samarbeide på tvers Cogito;Discipline Leader
Vanskelig omboarding;Jeg syntes det er vanskelig å komme inn i denne rollen...;Stort prosjekt;Discipline Leader
Vet ikke hva verktøyet er;(Er det noen verktøy dere bruker for å delegere?) Nei, det kan jeg ikke si.;Delegering;Ass. Project Group Leader
Tilgangsstyring;Så er det jo med slike hoteller at du ser bare det du har tilgang til. Så det tar veldig lang tid at du oppdager et rom som du burde ha tilgang til. ;Dokumentere;Ass. Project Group Leader
BIM-samarbeid;De som sitter å BIMer, kan sende hverandre beskjeder via modellen. Det fjerner mail;Kommunikasjon ;Ass. Project Group Leader
Kommunikasjon i WS;vi planlegger det å ha workshops...Det er det som blir de måtene å få folk til å skjønne hva vi jobber mot;Kommunikasjon ;Ass. Project Group Leader
Mister oversikt;At de skjønner hva de jbber mot. Det har vært veldgi vanskelig. Mye frustrasjon, fordi de som ikke går i møter og ikke får samme info som prosjektleder.;Kommunikasjon ;Ass. Project Group Leader
Mye mail - negativ;Jeg sliter jo med å klare å henge med på mailen.;Kommunikasjon ;Ass. Project Group Leader
Har sin egen forståelse av Lean;Jeg tenker det er vår måte å svare på Lean tankegang på i prosjektet;Lean;Ass. Project Group Leader
Risiko ved Lean;Jeg har tro på den metodikken, men det er et voldsomt stort prosjekt å gjøre noe første gang. At veien blir til mens man går. At det er en risiko med det. Det vil jeg si at det er .;Lean;Ass. Project Group Leader
Nye metoder;Vi gjør alt på en ny måte. Det er ikke klart hva som er målet hele tiden. Det har vært vanskelig å planlegge disse MMI-gradene...vanskelig å få opp ting som blir lagt i Cogito.;Nye metoder;Ass. Project Group Leader
Funker ikke med samarbeid i Interaxo;men det fungerer ikke i Interaxo. Det er ikke en sånn SharePoint-løsning...Så det fungerer ikke som en samarbeidsplattform;Samarbeide internt;Ass. Project Group Leader
Cogito er lite visuelt;Jeg syntes det er vanskelig, fordi det er så lite visuelt;Samarbeide på tvers Cogito;Ass. Project Group Leader
Positiv til samspill;Tegne dem en gang;Samspill og kontrakt;Ass. Project Group Leader
Berike modellen;Da må vi være med å passe på at den berikes såpass mye at vi får den informasjonen vi trenger.;Samarbeide på tvers BIM;Engineering Manager
Forbedret kollisjonskontroll;Så vil man gjøre slike kolisjonskontroller som sjekker at dette er mulig å bygge, eller ikke. Så blir det jo justert i forhold til det.;Samarbeide på tvers BIM;Engineering Manager
Cogito er lite oversiktelig;Cogito er jo et slags oversiktsverktøy og det er jo ikke alltid like oversiktlig. ;Samarbeide på tvers Cogito;Engineering Manager
Savner Gantt;Vi som har jobbet med prosjektet en stund har jo vært vant med den gamle prosjekt-planen;Samarbeide på tvers Cogito;Engineering Manager
Mange verktøy;Det finnes mye fine digitale verktøy, men det må liksom ikke bli for mange av dem heller.;Verktøy;Engineering Manager
Standariserte verktøy;Det er klart at hvis man kunne komme på en mer omformert standard fra prosjekt til prosjkekt;Verktøy;Engineering Manager
